Country/Good;Natural_gas_export_BCF;Natural_gas_import_BCF;Electricity_export_Billion_Kilowatthours;Electricity_import_Billion_Kilowatthours;Refined_Petroleum_export_Thousand_Barrels_Per_Day;Refined_Petroleum_import_Thousand_Barrels_Per_Day;Total_Primary_Energy_Production_Quadrillion_Btu;Total_Primary_Energy_Consumption_Quadrillion_Btu
Germany;621,68526;3165,81318;54,768;51,003;377,55937;686,83077;4,75002;13,44995
Russia;8008,198;1123,017;24,111;1,558;2745,109745;94,93475;54,62939;29,95668
UK;563,6274;1866,39775;2,467;8,689;708,06005;662,02633;5,3391;8,4835
Unites States;1506;3469;15,049;52,3;2938,87671;2500,78904;78,0024;97,46145
